Mo, 06 Jul 2020 12:42:36 +0000  fade_in 1 3 None None
Mo, 06 Jul 2020 12:43:06 +0000  fade_in 0 3 None None
Mo, 06 Jul 2020 12:43:08 +0000  RS_intro 1 3 0 None
Mo, 06 Jul 2020 12:43:31 +0000  RS_intro 0 3 0 None
Mo, 06 Jul 2020 12:43:31 +0000  RS_rec 1 3 0 None
Mo, 06 Jul 2020 12:46:35 +0000  RS_rec 0 3 close None
Mo, 06 Jul 2020 12:46:35 +0000  RS_intro 1 3 1 None
Mo, 06 Jul 2020 12:46:58 +0000  RS_intro 0 3 1 None
Mo, 06 Jul 2020 12:46:58 +0000  RS_rec 1 3 1 None
Mo, 06 Jul 2020 12:50:01 +0000  RS_rec 0 3 open None
Mo, 06 Jul 2020 12:50:15 +0000  QA_intro 1 3 None None
Mo, 06 Jul 2020 12:50:56 +0000  QA_intro 0 3 None None
Mo, 06 Jul 2020 12:50:58 +0000  QA_rec 1 3 0 0
Mo, 06 Jul 2020 12:51:18 +0000  QA_rec 0 3 0 0
Mo, 06 Jul 2020 12:51:18 +0000  Run-3, Block-0, Trial-0, Q_cnt-150, Q_sen-Meine Geschichte ist wahr, ich habe keine Lügen erzählt., Q_cen-erzählt
Mo, 06 Jul 2020 12:51:19 +0000  QA_rec 1 3 0 1
Mo, 06 Jul 2020 12:51:39 +0000  QA_rec 0 3 0 1
Mo, 06 Jul 2020 12:51:39 +0000  Run-3, Block-0, Trial-1, Q_cnt-151, Q_sen-Der Fluss fließt an der Grenze entlang., Q_cen-fließt
Mo, 06 Jul 2020 12:51:40 +0000  QA_rec 1 3 0 2
Mo, 06 Jul 2020 12:52:00 +0000  QA_rec 0 3 0 2
Mo, 06 Jul 2020 12:52:00 +0000  Run-3, Block-0, Trial-2, Q_cnt-152, Q_sen-Der Mitarbeiter wurde für seinen Fleiß und seine harte Arbeit belohnt., Q_cen-belohnt
Mo, 06 Jul 2020 12:52:01 +0000  QA_rec 1 3 0 3
Mo, 06 Jul 2020 12:52:21 +0000  QA_rec 0 3 0 3
Mo, 06 Jul 2020 12:52:21 +0000  Run-3, Block-0, Trial-3, Q_cnt-153, Q_sen-Ich denke immer an meine Kindheit zurück., Q_cen-denke
Mo, 06 Jul 2020 12:52:22 +0000  QA_rec 1 3 0 4
Mo, 06 Jul 2020 12:52:42 +0000  QA_rec 0 3 0 4
Mo, 06 Jul 2020 12:52:42 +0000  Run-3, Block-0, Trial-4, Q_cnt-154, Q_sen-Wenn der Wind stark bläst, ziehen die Wolken schnell über den Himmel., Q_cen-bläst
Mo, 06 Jul 2020 12:52:43 +0000  QA_rec 1 3 0 5
Mo, 06 Jul 2020 12:53:03 +0000  QA_rec 0 3 0 5
Mo, 06 Jul 2020 12:53:03 +0000  Run-3, Block-0, Trial-5, Q_cnt-155, Q_sen-Das Abkommen läuft noch fünf Monate. , Q_cen-läuft
Mo, 06 Jul 2020 12:53:04 +0000  QA_rec 1 3 0 6
Mo, 06 Jul 2020 12:53:24 +0000  QA_rec 0 3 0 6
Mo, 06 Jul 2020 12:53:24 +0000  Run-3, Block-0, Trial-6, Q_cnt-156, Q_sen-Ich werde meinen Geburtstag morgen mit meinen Freunden feiern., Q_cen-feiern
Mo, 06 Jul 2020 12:53:25 +0000  QA_rec 1 3 0 7
Mo, 06 Jul 2020 12:53:45 +0000  QA_rec 0 3 0 7
Mo, 06 Jul 2020 12:53:45 +0000  Run-3, Block-0, Trial-7, Q_cnt-157, Q_sen-Viele Indianer leben in Reservaten., Q_cen-leben
Mo, 06 Jul 2020 12:53:46 +0000  QA_rec 1 3 0 8
Mo, 06 Jul 2020 12:54:06 +0000  QA_rec 0 3 0 8
Mo, 06 Jul 2020 12:54:06 +0000  Run-3, Block-0, Trial-8, Q_cnt-158, Q_sen-Er kann zwanzig Zigarattes pro Tag rauchen, was sehr ungesund ist., Q_cen-rauchen
Mo, 06 Jul 2020 12:54:07 +0000  QA_rec 1 3 0 9
Mo, 06 Jul 2020 12:54:27 +0000  QA_rec 0 3 0 9
Mo, 06 Jul 2020 12:54:27 +0000  Run-3, Block-0, Trial-9, Q_cnt-159, Q_sen-Die Sonnenbrillen kann die Augen vor der Sonne schützen., Q_cen-schützen
Mo, 06 Jul 2020 12:54:28 +0000  QA_rec 1 3 0 10
Mo, 06 Jul 2020 12:54:48 +0000  QA_rec 0 3 0 10
Mo, 06 Jul 2020 12:54:48 +0000  Run-3, Block-0, Trial-10, Q_cnt-160, Q_sen-Im Herbst werden die Blätter von den Bäumen fallen., Q_cen-fallen
Mo, 06 Jul 2020 12:54:49 +0000  QA_rec 1 3 0 11
Mo, 06 Jul 2020 12:55:09 +0000  QA_rec 0 3 0 11
Mo, 06 Jul 2020 12:55:09 +0000  Run-3, Block-0, Trial-11, Q_cnt-161, Q_sen-In der Vergangenheit war Berlin in zwei Hälften geteilt., Q_cen-geteilt
Mo, 06 Jul 2020 12:55:10 +0000  QA_rec 1 3 0 12
Mo, 06 Jul 2020 12:55:30 +0000  QA_rec 0 3 0 12
Mo, 06 Jul 2020 12:55:30 +0000  Run-3, Block-0, Trial-12, Q_cnt-162, Q_sen-Er sieht endlich ein Licht am Ende des Tunnels., Q_cen-sieht
Mo, 06 Jul 2020 12:55:31 +0000  QA_rec 1 3 0 13
Mo, 06 Jul 2020 12:55:51 +0000  QA_rec 0 3 0 13
Mo, 06 Jul 2020 12:55:51 +0000  Run-3, Block-0, Trial-13, Q_cnt-163, Q_sen-Wer viele CO2-Emissionen produziert, belastet die Umwelt., Q_cen-belastet
Mo, 06 Jul 2020 12:55:52 +0000  QA_rec 1 3 0 14
Mo, 06 Jul 2020 12:56:12 +0000  QA_rec 0 3 0 14
Mo, 06 Jul 2020 12:56:12 +0000  Run-3, Block-0, Trial-14, Q_cnt-164, Q_sen-Araber lieben es, auf den Märkten zu handeln., Q_cen-handeln
Mo, 06 Jul 2020 12:56:13 +0000  QA_rec 1 3 0 15
Mo, 06 Jul 2020 12:56:34 +0000  QA_rec 0 3 0 15
Mo, 06 Jul 2020 12:56:34 +0000  Run-3, Block-0, Trial-15, Q_cnt-165, Q_sen-Mein Hund hat ein paar Tricks gelernt. , Q_cen-gelernt
Mo, 06 Jul 2020 12:56:35 +0000  QA_rec 1 3 0 16
Mo, 06 Jul 2020 12:56:55 +0000  QA_rec 0 3 0 16
Mo, 06 Jul 2020 12:56:55 +0000  Run-3, Block-0, Trial-16, Q_cnt-166, Q_sen-Sie gehen diese Straße geradeaus und biegen an der ersten Kreuzung rechts ab., Q_cen-biegen
Mo, 06 Jul 2020 12:56:56 +0000  QA_rec 1 3 0 17
Mo, 06 Jul 2020 12:57:16 +0000  QA_rec 0 3 0 17
Mo, 06 Jul 2020 12:57:16 +0000  Run-3, Block-0, Trial-17, Q_cnt-167, Q_sen-Die Blumen in meinem Garten riechen gut., Q_cen-riechen
Mo, 06 Jul 2020 12:57:17 +0000  QA_rec 1 3 0 18
Mo, 06 Jul 2020 12:57:37 +0000  QA_rec 0 3 0 18
Mo, 06 Jul 2020 12:57:37 +0000  Run-3, Block-0, Trial-18, Q_cnt-168, Q_sen-Können Sie mir auf Hundert Euro herausgeben?, Q_cen-herausgeben
Mo, 06 Jul 2020 12:57:38 +0000  QA_rec 1 3 0 19
Mo, 06 Jul 2020 12:57:58 +0000  QA_rec 0 3 0 19
Mo, 06 Jul 2020 12:57:58 +0000  Run-3, Block-0, Trial-19, Q_cnt-169, Q_sen-Ich habe alle meine Freunde zu meiner Geburtstags Party eingeladen., Q_cen-eingeladen
Mo, 06 Jul 2020 12:57:59 +0000  QA_rec 1 3 0 20
Mo, 06 Jul 2020 12:58:19 +0000  QA_rec 0 3 0 20
Mo, 06 Jul 2020 12:58:19 +0000  Run-3, Block-0, Trial-20, Q_cnt-170, Q_sen-Er wird seinem Traum folgen, egal was die Leute reden., Q_cen-reden
Mo, 06 Jul 2020 12:58:20 +0000  QA_rec 1 3 0 21
Mo, 06 Jul 2020 12:58:40 +0000  QA_rec 0 3 0 21
Mo, 06 Jul 2020 12:58:40 +0000  Run-3, Block-0, Trial-21, Q_cnt-171, Q_sen-Der Spender möchte anonym bleiben., Q_cen-bleiben
Mo, 06 Jul 2020 12:58:41 +0000  QA_rec 1 3 0 22
Mo, 06 Jul 2020 12:59:01 +0000  QA_rec 0 3 0 22
Mo, 06 Jul 2020 12:59:01 +0000  Run-3, Block-0, Trial-22, Q_cnt-172, Q_sen-Das Flugzeug fliegt den vorgeschriebenen Kurs., Q_cen-fliegt
Mo, 06 Jul 2020 12:59:02 +0000  QA_rec 1 3 0 23
Mo, 06 Jul 2020 12:59:22 +0000  QA_rec 0 3 0 23
Mo, 06 Jul 2020 12:59:22 +0000  Run-3, Block-0, Trial-23, Q_cnt-173, Q_sen-Neue Sterne entstehen in den Magellan-Wolken., Q_cen-entstehen
Mo, 06 Jul 2020 12:59:23 +0000  QA_rec 1 3 0 24
Mo, 06 Jul 2020 12:59:43 +0000  QA_rec 0 3 0 24
Mo, 06 Jul 2020 12:59:43 +0000  Run-3, Block-0, Trial-24, Q_cnt-174, Q_sen-Er probierte, die Tür mit dem falschen Schlüssel zu öffnen., Q_cen-öffnen
Mo, 06 Jul 2020 12:59:59 +0000  QA_rec 1 3 1 0
Mo, 06 Jul 2020 13:00:19 +0000  QA_rec 0 3 1 0
Mo, 06 Jul 2020 13:00:19 +0000  Run-3, Block-1, Trial-0, Q_cnt-175, Q_sen-Die Kellnerin schenkte den Kunden Wein nach., Q_cen-schenkte
Mo, 06 Jul 2020 13:00:20 +0000  QA_rec 1 3 1 1
Mo, 06 Jul 2020 13:00:40 +0000  QA_rec 0 3 1 1
Mo, 06 Jul 2020 13:00:40 +0000  Run-3, Block-1, Trial-1, Q_cnt-176, Q_sen-Bitte, erinnern Sie mich daran, wenn ich es vergessen sollte., Q_cen-erinnern
Mo, 06 Jul 2020 13:00:41 +0000  QA_rec 1 3 1 2
Mo, 06 Jul 2020 13:01:01 +0000  QA_rec 0 3 1 2
Mo, 06 Jul 2020 13:01:01 +0000  Run-3, Block-1, Trial-2, Q_cnt-177, Q_sen-Hier gibt es viele Tiere, die auf verschiedenen Kontinenten leben., Q_cen-leben
