Mi, 01 Jul 2020 15:10:55 +0000  fade_in 1 1 None None
Mi, 01 Jul 2020 15:11:30 +0000  fade_in 0 1 None None
Mi, 01 Jul 2020 15:11:32 +0000  RS_rec 1 1 0 None
Mi, 01 Jul 2020 15:14:36 +0000  RS_rec 0 1 open None
Mi, 01 Jul 2020 15:14:36 +0000  RS_rec 1 1 1 None
Mi, 01 Jul 2020 15:17:39 +0000  RS_rec 0 1 close None
Mi, 01 Jul 2020 15:17:58 +0000  QA_rec 1 1 0 0
Mi, 01 Jul 2020 15:18:16 +0000  QA_rec 0 1 0 0
Mi, 01 Jul 2020 15:18:16 +0000  Run-1, Block-0, Trial-0, Q_cnt-50, Q_sen-Manchmal glaube ich, ich bin zu pessimistisch., Q_cen-glaube
Mi, 01 Jul 2020 15:18:17 +0000  QA_rec 1 1 0 1
Mi, 01 Jul 2020 15:18:36 +0000  QA_rec 0 1 0 1
Mi, 01 Jul 2020 15:18:36 +0000  Run-1, Block-0, Trial-1, Q_cnt-51, Q_sen-Ich hoffe, dass alles gut geht. , Q_cen-hoffe
Mi, 01 Jul 2020 15:18:37 +0000  QA_rec 1 1 0 2
Mi, 01 Jul 2020 15:18:56 +0000  QA_rec 0 1 0 2
Mi, 01 Jul 2020 15:18:56 +0000  Run-1, Block-0, Trial-2, Q_cnt-52, Q_sen-Wenn du dich einen Moment ausruhst, kannst du mehr leisten., Q_cen-ausruhst
Mi, 01 Jul 2020 15:18:57 +0000  QA_rec 1 1 0 3
Mi, 01 Jul 2020 15:19:16 +0000  QA_rec 0 1 0 3
Mi, 01 Jul 2020 15:19:16 +0000  Run-1, Block-0, Trial-3, Q_cnt-53, Q_sen-Mein Zimmer ist zu unordentlich, also muss ich es aufräumen., Q_cen-aufräumen
Mi, 01 Jul 2020 15:19:17 +0000  QA_rec 1 1 0 4
Mi, 01 Jul 2020 15:19:36 +0000  QA_rec 0 1 0 4
Mi, 01 Jul 2020 15:19:36 +0000  Run-1, Block-0, Trial-4, Q_cnt-54, Q_sen-Man kann oft aus Fehlern lernen., Q_cen-lernen
Mi, 01 Jul 2020 15:19:37 +0000  QA_rec 1 1 0 5
Mi, 01 Jul 2020 15:19:56 +0000  QA_rec 0 1 0 5
