So, 12 Jul 2020 10:32:27 +0000  fade_in 1 0 None None
So, 12 Jul 2020 10:32:57 +0000  fade_in 0 0 None None
So, 12 Jul 2020 10:32:59 +0000  RS_intro 1 0 0 None
So, 12 Jul 2020 10:33:22 +0000  RS_intro 0 0 0 None
So, 12 Jul 2020 10:33:22 +0000  RS_rec 1 0 0 None
So, 12 Jul 2020 10:36:25 +0000  RS_rec 0 0 open None
So, 12 Jul 2020 10:36:25 +0000  RS_intro 1 0 1 None
So, 12 Jul 2020 10:36:48 +0000  RS_intro 0 0 1 None
So, 12 Jul 2020 10:36:48 +0000  RS_rec 1 0 1 None
So, 12 Jul 2020 10:39:52 +0000  RS_rec 0 0 close None
So, 12 Jul 2020 10:40:06 +0000  QA_intro 1 0 None None
So, 12 Jul 2020 10:40:46 +0000  QA_intro 0 0 None None
So, 12 Jul 2020 10:40:48 +0000  QA_rec 1 0 0 0
So, 12 Jul 2020 10:41:08 +0000  QA_rec 0 0 0 0
So, 12 Jul 2020 10:41:08 +0000  Run-0, Block-0, Trial-0, Q_cnt-0, Q_sen-Bitte zahlen Sie an Kasse Nummer Zwei., Q_cen-zahlen
So, 12 Jul 2020 10:41:09 +0000  QA_rec 1 0 0 1
So, 12 Jul 2020 10:41:29 +0000  QA_rec 0 0 0 1
So, 12 Jul 2020 10:41:29 +0000  Run-0, Block-0, Trial-1, Q_cnt-1, Q_sen-Kollegen versammelt sich zusammen, um ein neues Projekt zu planen., Q_cen-planen
So, 12 Jul 2020 10:41:30 +0000  QA_rec 1 0 0 2
So, 12 Jul 2020 10:41:50 +0000  QA_rec 0 0 0 2
So, 12 Jul 2020 10:41:50 +0000  Run-0, Block-0, Trial-2, Q_cnt-2, Q_sen-Die sieben kleinen Äpfel sollen ungefähr zwei Kilo wiegen., Q_cen-wiegen
So, 12 Jul 2020 10:41:51 +0000  QA_rec 1 0 0 3
So, 12 Jul 2020 10:42:11 +0000  QA_rec 0 0 0 3
So, 12 Jul 2020 10:42:11 +0000  Run-0, Block-0, Trial-3, Q_cnt-3, Q_sen-Ich musste heute Morgen richtig schnell nach der Busstation laufen., Q_cen-laufen
So, 12 Jul 2020 10:42:12 +0000  QA_rec 1 0 0 4
So, 12 Jul 2020 10:42:32 +0000  QA_rec 0 0 0 4
So, 12 Jul 2020 10:42:32 +0000  Run-0, Block-0, Trial-4, Q_cnt-4, Q_sen-Das Flugzeug fliegt den vorgeschriebenen Kurs., Q_cen-fliegt
So, 12 Jul 2020 10:42:33 +0000  QA_rec 1 0 0 5
So, 12 Jul 2020 10:42:53 +0000  QA_rec 0 0 0 5
So, 12 Jul 2020 10:42:53 +0000  Run-0, Block-0, Trial-5, Q_cnt-5, Q_sen-Wenn du dich einen Moment ausruhst, kannst du mehr leisten., Q_cen-ausruhst
So, 12 Jul 2020 10:42:54 +0000  QA_rec 1 0 0 6
So, 12 Jul 2020 10:43:14 +0000  QA_rec 0 0 0 6
So, 12 Jul 2020 10:43:14 +0000  Run-0, Block-0, Trial-6, Q_cnt-6, Q_sen-Er legte das Messer und die Gabel neben den Teller., Q_cen-legte
So, 12 Jul 2020 10:43:15 +0000  QA_rec 1 0 0 7
So, 12 Jul 2020 10:43:35 +0000  QA_rec 0 0 0 7
So, 12 Jul 2020 10:43:35 +0000  Run-0, Block-0, Trial-7, Q_cnt-7, Q_sen-Wenn es wärmer wird, werde ich die Fenster öffnen., Q_cen-öffnen
So, 12 Jul 2020 10:43:36 +0000  QA_rec 1 0 0 8
So, 12 Jul 2020 10:43:56 +0000  QA_rec 0 0 0 8
So, 12 Jul 2020 10:43:56 +0000  Run-0, Block-0, Trial-8, Q_cnt-8, Q_sen-Was bedeutet Pressefreiheit für dich?, Q_cen-bedeutet
So, 12 Jul 2020 10:43:57 +0000  QA_rec 1 0 0 9
So, 12 Jul 2020 10:44:17 +0000  QA_rec 0 0 0 9
So, 12 Jul 2020 10:44:17 +0000  Run-0, Block-0, Trial-9, Q_cnt-9, Q_sen-Alchemisten haben geglaubt, sie können Gold herstellen., Q_cen-herstellen
So, 12 Jul 2020 10:44:18 +0000  QA_rec 1 0 0 10
So, 12 Jul 2020 10:44:39 +0000  QA_rec 0 0 0 10
So, 12 Jul 2020 10:44:39 +0000  Run-0, Block-0, Trial-10, Q_cnt-10, Q_sen-Du kannst den Hund streicheln, er wird dich nicht beißen., Q_cen-beißen
So, 12 Jul 2020 10:44:40 +0000  QA_rec 1 0 0 11
So, 12 Jul 2020 10:45:00 +0000  QA_rec 0 0 0 11
