Do, 02 Jul 2020 11:02:23 +0000  fade_in 1 1 None None
Do, 02 Jul 2020 11:02:58 +0000  fade_in 0 1 None None
Do, 02 Jul 2020 11:03:00 +0000  RS_intro 1 1 0 None
Do, 02 Jul 2020 11:03:23 +0000  RS_intro 0 1 0 None
Do, 02 Jul 2020 11:03:23 +0000  RS_rec 1 1 0 None
Do, 02 Jul 2020 11:06:26 +0000  RS_rec 0 1 open None
Do, 02 Jul 2020 11:06:26 +0000  RS_intro 1 1 1 None
Do, 02 Jul 2020 11:06:49 +0000  RS_intro 0 1 1 None
Do, 02 Jul 2020 11:06:49 +0000  RS_rec 1 1 1 None
Do, 02 Jul 2020 11:09:53 +0000  RS_rec 0 1 close None
Do, 02 Jul 2020 11:10:07 +0000  QA_intro 1 1 None None
Do, 02 Jul 2020 11:10:47 +0000  QA_intro 0 1 None None
Do, 02 Jul 2020 11:10:49 +0000  QA_rec 1 1 0 0
Do, 02 Jul 2020 11:11:07 +0000  QA_rec 0 1 0 0
Do, 02 Jul 2020 11:11:07 +0000  Run-1, Block-0, Trial-0, Q_cnt-50, Q_sen-Die ausgehende Post muss noch eintragen werden, da sie strenge Datenschutzrichtlinien haben., Q_cen-eintragen
Do, 02 Jul 2020 11:11:08 +0000  QA_rec 1 1 0 1
Do, 02 Jul 2020 11:11:27 +0000  QA_rec 0 1 0 1
Do, 02 Jul 2020 11:11:27 +0000  Run-1, Block-0, Trial-1, Q_cnt-51, Q_sen-Paul hat zum Abendessen Kartoffelsuppe gegessen., Q_cen-gegessen
Do, 02 Jul 2020 11:11:29 +0000  QA_rec 1 1 0 2
Do, 02 Jul 2020 11:11:47 +0000  QA_rec 0 1 0 2
Do, 02 Jul 2020 11:11:47 +0000  Run-1, Block-0, Trial-2, Q_cnt-52, Q_sen-Ihre Freundlichkeit gab mir ein Gefühl von Sicherheit., Q_cen-gab
Do, 02 Jul 2020 11:11:49 +0000  QA_rec 1 1 0 3
Do, 02 Jul 2020 11:12:07 +0000  QA_rec 0 1 0 3
Do, 02 Jul 2020 11:12:07 +0000  Run-1, Block-0, Trial-3, Q_cnt-53, Q_sen-Ich habe mich dieses Semester für einen sehr einfachen Kurs angemeldet., Q_cen-angemeldet
Do, 02 Jul 2020 11:12:09 +0000  QA_rec 1 1 0 4
Do, 02 Jul 2020 11:12:28 +0000  QA_rec 0 1 0 4
Do, 02 Jul 2020 11:12:28 +0000  Run-1, Block-0, Trial-4, Q_cnt-54, Q_sen-Die Reparatur wird um ein hundert Euro kosten., Q_cen-kosten
Do, 02 Jul 2020 11:12:29 +0000  QA_rec 1 1 0 5
Do, 02 Jul 2020 11:12:48 +0000  QA_rec 0 1 0 5
Do, 02 Jul 2020 11:12:48 +0000  Run-1, Block-0, Trial-5, Q_cnt-55, Q_sen-Zuhause erzählt er seiner kleinen Schwester davon., Q_cen-erzählt
Do, 02 Jul 2020 11:12:49 +0000  QA_rec 1 1 0 6
Do, 02 Jul 2020 11:13:08 +0000  QA_rec 0 1 0 6
Do, 02 Jul 2020 11:13:08 +0000  Run-1, Block-0, Trial-6, Q_cnt-56, Q_sen-Ich muss für meine wichtige Prüfung morgen lernen., Q_cen-lernen
Do, 02 Jul 2020 11:13:09 +0000  QA_rec 1 1 0 7
Do, 02 Jul 2020 11:13:28 +0000  QA_rec 0 1 0 7
Do, 02 Jul 2020 11:13:28 +0000  Run-1, Block-0, Trial-7, Q_cnt-57, Q_sen-Das juristische Staatsexamen in Deutschland ist schwer zu bestehen., Q_cen-bestehen
Do, 02 Jul 2020 11:13:29 +0000  QA_rec 1 1 0 8
Do, 02 Jul 2020 11:13:48 +0000  QA_rec 0 1 0 8
Do, 02 Jul 2020 11:13:48 +0000  Run-1, Block-0, Trial-8, Q_cnt-58, Q_sen-Melanie sieht so schlecht, sie braucht eine Brille., Q_cen-braucht
Do, 02 Jul 2020 11:13:49 +0000  QA_rec 1 1 0 9
Do, 02 Jul 2020 11:14:08 +0000  QA_rec 0 1 0 9
Do, 02 Jul 2020 11:14:08 +0000  Run-1, Block-0, Trial-9, Q_cnt-59, Q_sen-Schauen Sie nach draußen, der Schnee fällt., Q_cen-fällt
Do, 02 Jul 2020 11:14:09 +0000  QA_rec 1 1 0 10
Do, 02 Jul 2020 11:14:28 +0000  QA_rec 0 1 0 10
Do, 02 Jul 2020 11:14:28 +0000  Run-1, Block-0, Trial-10, Q_cnt-60, Q_sen-Wir sind verlobt und wollen nächstes Jahr heiraten., Q_cen-heiraten
Do, 02 Jul 2020 11:14:29 +0000  QA_rec 1 1 0 11
Do, 02 Jul 2020 11:14:47 +0000  QA_rec 0 1 0 11
Do, 02 Jul 2020 11:14:47 +0000  Run-1, Block-0, Trial-11, Q_cnt-61, Q_sen-Er kann fast so gut Fahrrad fahren wie sein älterer Bruder., Q_cen-fahren
Do, 02 Jul 2020 11:14:48 +0000  QA_rec 1 1 0 12
Do, 02 Jul 2020 11:15:07 +0000  QA_rec 0 1 0 12
Do, 02 Jul 2020 11:15:07 +0000  Run-1, Block-0, Trial-12, Q_cnt-62, Q_sen-Dort an der Ampel kannst du die Straße überqueren., Q_cen-überqueren
Do, 02 Jul 2020 11:15:08 +0000  QA_rec 1 1 0 13
Do, 02 Jul 2020 11:15:28 +0000  QA_rec 0 1 0 13
Do, 02 Jul 2020 11:15:28 +0000  Run-1, Block-0, Trial-13, Q_cnt-63, Q_sen-Sie hat Jogurt, Milch, Banana, Brot etc. im Supermarkt eingekauft., Q_cen-eingekauft
Do, 02 Jul 2020 11:15:29 +0000  QA_rec 1 1 0 14
Do, 02 Jul 2020 11:15:47 +0000  QA_rec 0 1 0 14
Do, 02 Jul 2020 11:15:47 +0000  Run-1, Block-0, Trial-14, Q_cnt-64, Q_sen-Vor dem Supermarkt kann man auf einer großen Fläche parken. , Q_cen-parken
Do, 02 Jul 2020 11:15:48 +0000  QA_rec 1 1 0 15
Do, 02 Jul 2020 11:16:07 +0000  QA_rec 0 1 0 15
Do, 02 Jul 2020 11:16:07 +0000  Run-1, Block-0, Trial-15, Q_cnt-65, Q_sen-Sein Kommentar ist immer so vage, dass niemand weiß, was er meint., Q_cen-meint
Do, 02 Jul 2020 11:16:08 +0000  QA_rec 1 1 0 16
Do, 02 Jul 2020 11:16:27 +0000  QA_rec 0 1 0 16
Do, 02 Jul 2020 11:16:27 +0000  Run-1, Block-0, Trial-16, Q_cnt-66, Q_sen-Er entschuldigte sich für seinen Fehler., Q_cen-entschuldigte
Do, 02 Jul 2020 11:16:28 +0000  QA_rec 1 1 0 17
Do, 02 Jul 2020 11:16:48 +0000  QA_rec 0 1 0 17
Do, 02 Jul 2020 11:16:48 +0000  Run-1, Block-0, Trial-17, Q_cnt-67, Q_sen-Die Reparaturen werden ungefähr drei Stunden dauern., Q_cen-dauern
Do, 02 Jul 2020 11:16:49 +0000  QA_rec 1 1 0 18
Do, 02 Jul 2020 11:17:07 +0000  QA_rec 0 1 0 18
Do, 02 Jul 2020 11:17:07 +0000  Run-1, Block-0, Trial-18, Q_cnt-68, Q_sen-Die Stadt liegt nahe am Meer., Q_cen-liegt
Do, 02 Jul 2020 11:17:09 +0000  QA_rec 1 1 0 19
Do, 02 Jul 2020 11:17:28 +0000  QA_rec 0 1 0 19
Do, 02 Jul 2020 11:17:28 +0000  Run-1, Block-0, Trial-19, Q_cnt-69, Q_sen-Der frühe Vogel kann den Wurm fangen., Q_cen-fangen
Do, 02 Jul 2020 11:17:29 +0000  QA_rec 1 1 0 20
Do, 02 Jul 2020 11:17:48 +0000  QA_rec 0 1 0 20
Do, 02 Jul 2020 11:17:48 +0000  Run-1, Block-0, Trial-20, Q_cnt-70, Q_sen-Das gute Wetter wird halten, weil ich keine Wolken sehe., Q_cen-halten
Do, 02 Jul 2020 11:17:49 +0000  QA_rec 1 1 0 21
Do, 02 Jul 2020 11:18:08 +0000  QA_rec 0 1 0 21
Do, 02 Jul 2020 11:18:08 +0000  Run-1, Block-0, Trial-21, Q_cnt-71, Q_sen-Die Fische leben in Flüssen , Seen und Meeren., Q_cen-leben
Do, 02 Jul 2020 11:18:09 +0000  QA_rec 1 1 0 22
Do, 02 Jul 2020 11:18:28 +0000  QA_rec 0 1 0 22
