Do, 06 Aug 2020 17:44:22 +0000  fade_in 1 1 None None
Do, 06 Aug 2020 17:44:57 +0000  fade_in 0 1 None None
Do, 06 Aug 2020 17:44:59 +0000  RS_intro 1 1 0 None
Do, 06 Aug 2020 17:45:22 +0000  RS_intro 0 1 0 None
Do, 06 Aug 2020 17:45:22 +0000  RS_rec 1 1 0 None
Do, 06 Aug 2020 17:48:25 +0000  RS_rec 0 1 close None
Do, 06 Aug 2020 17:48:25 +0000  RS_intro 1 1 1 None
Do, 06 Aug 2020 17:48:48 +0000  RS_intro 0 1 1 None
Do, 06 Aug 2020 17:48:48 +0000  RS_rec 1 1 1 None
Do, 06 Aug 2020 17:51:52 +0000  RS_rec 0 1 open None
Do, 06 Aug 2020 17:52:06 +0000  QA_intro 1 1 None None
Do, 06 Aug 2020 17:52:46 +0000  QA_intro 0 1 None None
Do, 06 Aug 2020 17:52:48 +0000  QA_rec 1 1 0 0
Do, 06 Aug 2020 17:53:08 +0000  QA_rec 0 1 0 0
Do, 06 Aug 2020 17:53:08 +0000  Run-1, Block-0, Trial-0, Q_cnt-50, Q_sen-Er hilft der alten Frau beim Einsteigen ins Auto., Q_cen-hilft
Do, 06 Aug 2020 17:53:09 +0000  QA_rec 1 1 0 1
Do, 06 Aug 2020 17:53:29 +0000  QA_rec 0 1 0 1
Do, 06 Aug 2020 17:53:29 +0000  Run-1, Block-0, Trial-1, Q_cnt-51, Q_sen-Er verwendet einen Bleistift auf der Wand zu malen., Q_cen-malen
Do, 06 Aug 2020 17:53:30 +0000  QA_rec 1 1 0 2
Do, 06 Aug 2020 17:53:50 +0000  QA_rec 0 1 0 2
Do, 06 Aug 2020 17:53:50 +0000  Run-1, Block-0, Trial-2, Q_cnt-52, Q_sen-Ich empfehle dieses Buch jedem, der an Geschichte interessiert ist., Q_cen-empfehle
Do, 06 Aug 2020 17:53:51 +0000  QA_rec 1 1 0 3
Do, 06 Aug 2020 17:54:11 +0000  QA_rec 0 1 0 3
Do, 06 Aug 2020 17:54:11 +0000  Run-1, Block-0, Trial-3, Q_cnt-53, Q_sen-Sonja nimmt ihren Tee mit Milch und Zucker., Q_cen-nimmt
Do, 06 Aug 2020 17:54:12 +0000  QA_rec 1 1 0 4
Do, 06 Aug 2020 17:54:32 +0000  QA_rec 0 1 0 4
Do, 06 Aug 2020 17:54:32 +0000  Run-1, Block-0, Trial-4, Q_cnt-54, Q_sen-Ich möchte gerne ein Zimmer im Hilton-Hotel reservieren., Q_cen-reservieren
Do, 06 Aug 2020 17:54:33 +0000  QA_rec 1 1 0 5
Do, 06 Aug 2020 17:54:53 +0000  QA_rec 0 1 0 5
Do, 06 Aug 2020 17:54:53 +0000  Run-1, Block-0, Trial-5, Q_cnt-55, Q_sen-Ich kann endlich den Namen dieser französischen Stadt aussprechen., Q_cen-aussprechen
Do, 06 Aug 2020 17:54:54 +0000  QA_rec 1 1 0 6
Do, 06 Aug 2020 17:55:15 +0000  QA_rec 0 1 0 6
Do, 06 Aug 2020 17:55:15 +0000  Run-1, Block-0, Trial-6, Q_cnt-56, Q_sen-Es macht Spaß, mit Freunden philosophische Fragen zu diskutieren., Q_cen-diskutieren
Do, 06 Aug 2020 17:55:16 +0000  QA_rec 1 1 0 7
Do, 06 Aug 2020 17:55:36 +0000  QA_rec 0 1 0 7
Do, 06 Aug 2020 17:55:36 +0000  Run-1, Block-0, Trial-7, Q_cnt-57, Q_sen-Nur wenn mein Haar schmutzig ist, werde ich es bürsten., Q_cen-bürsten
Do, 06 Aug 2020 17:55:37 +0000  QA_rec 1 1 0 8
Do, 06 Aug 2020 17:55:57 +0000  QA_rec 0 1 0 8
