run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,RS_rec_cont.started,RS_rec_cont.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,fade_out_text.text,fade_out_text.started,fade_out_text.stopped,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,48.42185592651367,None,264.0982699394226,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",264.0982699394226,None,264.0789246082306,None,"Please keep relaxed and close your eyes.
",287.115975856781,467.12632608413696,468.9085750579834,None,473.99201107025146,None,492.81019592285156,532.8130049705505," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",492.81019592285156,532.8130049705505,492.78838510513305,None,532.1949260234833,None,Listen to the question and speak out your answer!,537.0786049365997,None,537.0738667488099,539.0798768997192,Ich muss mein Versprechen halten.,halten,538.4631645202637,None,540.8132826805115,None,553.6638094902039,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1521/rec_QA_run_00_block_000_trial_000.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1521,nibs_stage_1,3.2.3,59.961801068197666,
0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,556.0967009067535,None,556.0767607212067,558.0808379650116,"Es ist nicht erlaubt für alle Autos, vor dem Notausgang zu parken.",parken,557.464411687851,None,561.9465455532074,562.9477829933167,572.664778661728,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1521/rec_QA_run_00_block_000_trial_001.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1521,nibs_stage_1,3.2.3,59.961801068197666,
0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,576.080708026886,None,576.0610966205597,578.0652439594269,"Ein rotes Signal bedeutet, dass ich warten muss.",bedeutet,577.448658657074,None,580.8808154582978,None,592.649191570282,None,594.0493109226227,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1521/rec_QA_run_00_block_000_trial_002.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1521,nibs_stage_1,3.2.3,59.961801068197666,
0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,596.0816509723663,None,596.0622195720673,598.0661718845367,Wir haben während des Urlaubs ein gemütliches Zimmer in Meeresnähe gemietet.,gemietet,597.4500414848328,601.9497239589691,602.3663615703583,None,612.6505326747895,None,614.0503289699554,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1521/rec_QA_run_00_block_000_trial_003.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1521,nibs_stage_1,3.2.3,59.961801068197666,
0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,616.0826790332794,None,616.0632376194001,618.0672330856323,"Die Fische leben in Flüssen , Seen und Meeren.",leben,617.4504606246949,None,621.1008185863495,None,632.6678826332093,None,634.0513010025024,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1521/rec_QA_run_00_block_000_trial_004.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1521,nibs_stage_1,3.2.3,59.961801068197666,
0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,636.0836369991302,None,636.0642096519471,638.0681760311127,"Eric ist ein guter Fahrer, obwohl er gerade erst seinen Führerschein gemacht hat.",gemacht,637.4514045238495,None,642.7350546836853,643.7353389263153,652.6522244930268,None,654.0523269176483,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1521/rec_QA_run_00_block_000_trial_005.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1521,nibs_stage_1,3.2.3,59.961801068197666,
0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,656.0845079421997,None,656.0652355670929,658.0678870677948,Martin geht in ein Reisebüro und lässt sich von einem Angestellten beraten.,beraten,657.4524566650391,None,662.4513995170594,663.4530160427094,672.6532976150513,None,674.0533709526062,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1521/rec_QA_run_00_block_000_trial_006.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1521,nibs_stage_1,3.2.3,59.961801068197666,
0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,676.086238861084,None,676.0662796020508,678.0702140331268,"Die Geheimzahl sollte nicht notiert werden, vor allem nicht auf der Bankomatkarte.",notiert,677.4536935806275,None,682.6870674610138,683.6871500015259,692.6875645637513,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1521/rec_QA_run_00_block_000_trial_007.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1521,nibs_stage_1,3.2.3,59.961801068197666,
0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,696.1032528877258,None,696.0836836814881,698.103434085846,"Bevor man eine Orange essen kann, muss man sie erst schneiden oder schälen.",schälen,697.4913684844971,701.8701150417328,702.2535876750946,None,712.6873225688935,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1521/rec_QA_run_00_block_000_trial_008.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1521,nibs_stage_1,3.2.3,59.961801068197666,
0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,716.1042170524597,None,716.0837125301362,718.104367017746,Hans spielt gerne mit Lego.,spielt,717.4875096797944,719.4046828746796,719.7877084732056,None,732.6883406162262,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1521/rec_QA_run_00_block_000_trial_009.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1521,nibs_stage_1,3.2.3,59.961801068197666,
0,0,0,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,736.1053910255432,None,736.0846335411072,738.1053199768066,"Die Brille bekommst du beim Optiker, dann kannst du wieder perfekt sehen.",sehen,737.4885646820069,741.5387940406799,741.9220675945282,None,752.6892716407776,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1521/rec_QA_run_00_block_000_trial_010.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1521,nibs_stage_1,3.2.3,59.961801068197666,
0,0,0,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,756.1068339347839,None,756.0858075141907,758.1062970161438,"Sie hat Schlafmittel genommen, damit sie gut schlafen kann.",schlafen,757.4943634986878,None,761.4567365169526,762.4733140468597,772.6737825393677,None,None,None,./data/Subject_00/Session_00/Exp_data/2020_Mai_31_1521/rec_QA_run_00_block_000_trial_011.wav,,,,00,00,,A1,False,False,True,False,False,True,True,True,True,True,True,No,No,No,No,No,No,2020_Mai_31_1521,nibs_stage_1,3.2.3,59.961801068197666,
