run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,RS_intro_title.started,RS_intro_title.stopped,RS_intro_text.text,RS_intro_text.started,RS_intro_text.stopped,RS_intro_audio.started,RS_intro_audio.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,0,0,0,0,250.70286202430725,None," - Task: Keep seated and relaxed with either      
             opening or closing eyes                  
 - Beep sound with decreasing pitch: Block finish 
",250.70286202430725,None,250.70349016189573,None,"Please keep relaxed and close your eyes.
",273.7211718559265,453.73045802116394,457.130411863327,None,471.898334980011,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",471.898334980011,None,471.8987475156784,None,511.28321599960327,None,Listen to the question and speak out your answer!,514.3501369953156,None,514.334316945076,516.3334949016571,"Der Fischer musste das Netz einziehen, ohne etwas gefangen zu haben.",einziehen,515.7167845487595,519.6003398895264,520.0170267343522,None,530.9175935506821,None,532.3176288604736,533.3176898956299,./data/Subject_04/Session_00/Exp_data/2020_Jul_04_1554/rec_QA_run_01_block_000_trial_000.wav,04,00,Norwegian,B1,True,False,True,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_04_1554,nibs_stage_1,3.2.3,59.95777243143023,
1,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,535.4031538963318,None,535.3851909399033,537.3844909667969,Der Wirkstoff im Kaffee heißt Koffein.,heißt,536.7681027173996,539.3015599250793,539.701388669014,None,551.9686957120896,552.9687449932098,553.3687629699707,554.368733882904,./data/Subject_04/Session_00/Exp_data/2020_Jul_04_1554/rec_QA_run_01_block_000_trial_001.wav,04,00,Norwegian,B1,True,False,True,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_04_1554,nibs_stage_1,3.2.3,59.95777243143023,
1,0,1,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,556.4355819225311,None,556.4196483135224,558.4190058708191,"Doris ist leider zu spät gekommen, die Apotheke hat heute schon geschlossen.",geschlossen,557.8022385358811,None,562.8859315633774,563.8859848976135,573.0033446073533,None,574.4034299850464,575.4034650325775,./data/Subject_04/Session_00/Exp_data/2020_Jul_04_1554/rec_QA_run_01_block_000_trial_002.wav,04,00,Norwegian,B1,True,False,True,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_04_1554,nibs_stage_1,3.2.3,59.95777243143023,
1,0,1,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,577.4702799320221,None,577.4549182891847,579.4704809188843,Ich habe alle meine Freunde zu meiner Geburtstags Party eingeladen.,eingeladen,578.8537855863572,582.9538679122925,583.3706365346909,None,594.054489684105,None,595.454519033432,596.4544880390167,./data/Subject_04/Session_00/Exp_data/2020_Jul_04_1554/rec_QA_run_01_block_000_trial_003.wav,04,00,Norwegian,B1,True,False,True,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_04_1554,nibs_stage_1,3.2.3,59.95777243143023,
1,0,1,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,598.5048079490662,None,598.4885553359986,600.4880759716034,"Um eine Kreditkarte zu bewerben, muss man älter als 18 werden. ",bewerben,599.8881185770035,None,604.3383236646653,None,615.0888815641404,None,616.4891500473022,617.4889130592346,./data/Subject_04/Session_00/Exp_data/2020_Jul_04_1554/rec_QA_run_01_block_000_trial_004.wav,04,00,Norwegian,B1,True,False,True,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_04_1554,nibs_stage_1,3.2.3,59.95777243143023,
1,0,1,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,619.5393369197845,None,619.5229803562165,621.5232520103455,"Bitte, erinnern Sie mich daran, wenn ich es vergessen sollte.",erinnern,620.9058926820755,624.2726979255676,624.6894226789475,None,636.10658056736,637.1070640087128,637.5067238807678,638.5067539215088,./data/Subject_04/Session_00/Exp_data/2020_Jul_04_1554/rec_QA_run_01_block_000_trial_005.wav,04,00,Norwegian,B1,True,False,True,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_04_1554,nibs_stage_1,3.2.3,59.95777243143023,
1,0,1,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,640.5743589401245,None,640.5576881408692,642.5569229125977,Die zwei Männer bewerben sich um einen gleichen Arbeitsplatz.,bewerben,641.9402716875077,645.6404929161072,646.0572336435318,None,657.1410966634751,None,658.5414118766785,659.5411088466644,./data/Subject_04/Session_00/Exp_data/2020_Jul_04_1554/rec_QA_run_01_block_000_trial_006.wav,04,00,Norwegian,B1,True,False,True,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_04_1554,nibs_stage_1,3.2.3,59.95777243143023,
1,0,1,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,661.5921759605408,None,661.591959142685,663.5914380550385,"Mein Bruder hat uns zum Abendessen eingeladen, ich habe bereits zugesagt.",eingeladen,662.974910569191,667.558296918869,667.9750066518784,None,678.1755157232285,679.1754970550537,679.5755040645599,680.575670003891,./data/Subject_04/Session_00/Exp_data/2020_Jul_04_1554/rec_QA_run_01_block_000_trial_007.wav,04,00,Norwegian,B1,True,False,True,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_04_1554,nibs_stage_1,3.2.3,59.95777243143023,
1,0,1,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,682.6260960102081,None,682.6097373008729,684.608892917633,"Bitte reservieren Sie einen Platz, bevor Sie ins Restaurant gehen.",reservieren,684.0088666200638,688.0257349014282,688.442492556572,None,699.209758591652,None,700.6098229885101,701.6098799705505,./data/Subject_04/Session_00/Exp_data/2020_Jul_04_1554/rec_QA_run_01_block_000_trial_008.wav,04,00,Norwegian,B1,True,False,True,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_04_1554,nibs_stage_1,3.2.3,59.95777243143023,
1,0,1,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,Listen to the question and speak out your answer!,703.6600940227509,None,703.6439472675324,705.6436378955841,Lisa kann schon mit großen Zahlen rechnen.,rechnen,705.0270956277848,707.6600818634033,708.0767875432969,None,720.2279227495194,721.2277958393097,721.6278610229492,722.6278488636017,./data/Subject_04/Session_00/Exp_data/2020_Jul_04_1554/rec_QA_run_01_block_000_trial_009.wav,04,00,Norwegian,B1,True,False,True,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_04_1554,nibs_stage_1,3.2.3,59.95777243143023,
