run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,Pause_cont.started,Pause_cont.stopped,QA_intro_title.started,QA_intro_title.stopped,QA_intro_text.text,QA_intro_text.started,QA_intro_text.stopped,QA_intro_audio.started,QA_intro_audio.stopped,QA_intro_cont.started,QA_intro_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,0,1,0,0,0,0,0,61.24328398704529,None,75.24392294883728,None," - Task: Listen to the question& Speak out answer 
 - Melodious beep sound: Trial start              
 - Silent sound (blank): censored word            
 - Beep sound with increasing pitch: Rec. start   
 - Beep sound with decreasing pitch: Rec. finish  
",75.24392294883728,None,75.22598712444305,None,114.61263394355774,None,Listen to the question and speak out your answer!,117.64614295959473,None,117.64460620880126,119.64623498916626,"Florian habe so lange Beine, deshalb trage er nur lange Hosen.",trage,119.02951304912567,None,123.67969124317169,None,134.21365706920625,135.2137110233307,135.61372995376587,136.61376094818115,./data/Subject_07/Session_03/Exp_data/2020_Jul_26_1656/rec_QA_run_00_block_001_trial_000.wav,07,03,English,B1,True,False,True,False,False,False,True,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_26_1656,nibs_stage_1,3.2.3,59.92659024698996,
0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,Listen to the question and speak out your answer!,138.6806240081787,None,138.67963316440583,140.68066906929016,"Meine Fenster sind schmutzig, ich muss sie putzen.",putzen,140.06395404338838,142.89754796028137,143.29745523929597,None,155.26474325656892,156.2649118900299,156.66479301452637,157.66489696502686,./data/Subject_07/Session_03/Exp_data/2020_Jul_26_1656/rec_QA_run_00_block_001_trial_001.wav,07,03,English,B1,True,False,True,False,False,False,True,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_26_1656,nibs_stage_1,3.2.3,59.92659024698996,
0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,Listen to the question and speak out your answer!,159.74840903282166,None,159.73073008060456,161.73176097869873,Ist der Tisch schon gedeckt?,gedeckt,161.11505310535432,162.64845490455627,163.06527106761934,None,176.3161432027817,None,177.71614789962769,178.71619486808777,./data/Subject_07/Session_03/Exp_data/2020_Jul_26_1656/rec_QA_run_00_block_001_trial_002.wav,07,03,English,B1,True,False,True,False,False,False,True,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_26_1656,nibs_stage_1,3.2.3,59.92659024698996,
0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,Listen to the question and speak out your answer!,180.79960107803345,None,180.78194119930268,182.78306984901428,Ich muss für meine wichtige Prüfung morgen lernen.,lernen,182.16636006832124,185.06643199920654,185.48323314189912,186.48325490951538,197.36715619564058,None,198.76716589927673,199.76729106903076,./data/Subject_07/Session_03/Exp_data/2020_Jul_26_1656/rec_QA_run_00_block_001_trial_003.wav,07,03,English,B1,True,False,True,False,False,False,True,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_26_1656,nibs_stage_1,3.2.3,59.92659024698996,
0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,Listen to the question and speak out your answer!,201.85118985176086,None,201.83319404125214,203.83443188667297,Ich habe alle meine Freunde zu meiner Geburtstags Party eingeladen.,eingeladen,203.2175101518631,None,207.73439304828645,None,218.41829125881196,219.4185709953308,219.81834387779236,220.81845998764038,./data/Subject_07/Session_03/Exp_data/2020_Jul_26_1656/rec_QA_run_00_block_001_trial_004.wav,07,03,English,B1,True,False,True,False,False,False,True,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_26_1656,nibs_stage_1,3.2.3,59.92659024698996,
0,0,0,0,1,0,1,0,5,0,5,0,,,,,,,,,,,,Listen to the question and speak out your answer!,222.88515186309814,None,222.86758599281313,224.86869502067566,"Ich habe mir ein neues Ziel gesetzt, das ich erreichen möchte.",erreichen,224.26862208843232,None,228.35223906040193,None,239.4694461107254,None,240.86943292617798,241.8695719242096,./data/Subject_07/Session_03/Exp_data/2020_Jul_26_1656/rec_QA_run_00_block_001_trial_005.wav,07,03,English,B1,True,False,True,False,False,False,True,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_26_1656,nibs_stage_1,3.2.3,59.92659024698996,
0,0,0,0,1,0,1,0,6,0,6,0,,,,,,,,,,,,Listen to the question and speak out your answer!,243.9363729953766,None,243.91865208148957,245.91983294487,Im Frühling besuchen viele Touristen unserer Hauptstadt.,besuchen,245.30303518772126,248.88649702072144,249.30308310985566,250.30322885513306,260.50371210575105,None,261.90391206741333,262.90384888648987,./data/Subject_07/Session_03/Exp_data/2020_Jul_26_1656/rec_QA_run_00_block_001_trial_006.wav,07,03,English,B1,True,False,True,False,False,False,True,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_26_1656,nibs_stage_1,3.2.3,59.92659024698996,
0,0,0,0,1,0,1,0,7,0,7,0,,,,,,,,,,,,Listen to the question and speak out your answer!,264.9717800617218,None,264.96960523128513,266.9709689617157,Ich muss den Anzug vor der Geschäftsreise in den Koffer einpacken.,einpacken,266.3542610883713,270.07111501693726,270.47118203639985,None,281.55508320331575,282.5550649166107,282.955050945282,283.95519185066223,./data/Subject_07/Session_03/Exp_data/2020_Jul_26_1656/rec_QA_run_00_block_001_trial_007.wav,07,03,English,B1,True,False,True,False,False,False,True,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_26_1656,nibs_stage_1,3.2.3,59.92659024698996,
0,0,0,0,1,0,1,0,8,0,8,0,,,,,,,,,,,,Listen to the question and speak out your answer!,286.0052390098572,None,286.00427200794223,288.0054728984833,Können Sie mir einen guten Augenarzt empfehlen?,empfehlen,287.3888282060623,None,290.58891718387605,291.5893099308014,302.5896901369095,None,303.98966002464294,304.98985505104065,./data/Subject_07/Session_03/Exp_data/2020_Jul_26_1656/rec_QA_run_00_block_001_trial_008.wav,07,03,English,B1,True,False,True,False,False,False,True,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_26_1656,nibs_stage_1,3.2.3,59.92659024698996,
0,0,0,0,1,0,1,0,9,0,9,0,,,,,,,,,,,,Listen to the question and speak out your answer!,307.05643606185913,None,307.03893520832065,309.039598941803,"Um mein Auto zu kaufen, die Bank hat mir das Geld geliehen.",geliehen,308.4229740381241,311.87314200401306,312.2898501634598,None,323.6239461183548,324.6241099834442,325.02410197257996,326.02434492111206,./data/Subject_07/Session_03/Exp_data/2020_Jul_26_1656/rec_QA_run_00_block_001_trial_009.wav,07,03,English,B1,True,False,True,False,False,False,True,False,True,True,True,True,No,0,No,1,No,No,2020_Jul_26_1656,nibs_stage_1,3.2.3,59.92659024698996,
