run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,fade_in_text.text,fade_in_text.started,fade_in_text.stopped,RS_rec_text.text,RS_rec_text.started,RS_rec_text.stopped,Pause_cont.started,Pause_cont.stopped,QA_rec_text.text,QA_rec_text.started,QA_rec_text.stopped,QA_rec_beep_hint.started,QA_rec_beep_hint.stopped,QA_rec_question.sen_text,QA_rec_question.cen_text,QA_rec_question.started,QA_rec_question.stopped,QA_rec_beep_start.started,QA_rec_beep_start.stopped,QA_rec_beep_end.started,QA_rec_beep_end.stopped,QA_rec_break.started,QA_rec_break.stopped,filename,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
1,0,1,0,0,0,0,0,0,0,0,0,Please remain seated until further instruction via the earphone.,96.80608892440796,None,"Please keep relaxed and close your eyes.
",284.23292303085327,464.24219012260437,467.62585496902466,None,Listen to the question and speak out your answer!,486.0769739151001,None,486.0625528335571,488.0770320892334,"Manchmal glaube ich, ich bin zu pessimistisch.",glaube,487.4602250099182,None,490.8437661170959,None,502.66095795631406,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_000.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,Listen to the question and speak out your answer!,505.127788066864,None,505.1122779369354,507.1279969215393,"Ich hoffe, dass alles gut geht. ",hoffe,506.4948300361633,508.3281989097595,508.7446581363678,None,521.6953059673309,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_001.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,2,0,2,0,,,,,,,,,Listen to the question and speak out your answer!,525.0955579280853,None,525.0800250053405,527.0954339504242,"Wenn du dich einen Moment ausruhst, kannst du mehr leisten.",ausruhst,526.4788569450378,529.6289269924164,530.0290171146393,531.0290160179138,541.679550075531,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_002.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,3,0,3,0,,,,,,,,,Listen to the question and speak out your answer!,545.0966351032257,None,545.0976769447326,547.0970170497894,"Mein Zimmer ist zu unordentlich, also muss ich es aufräumen.",aufräumen,546.4805010795593,None,550.36395611763,None,561.68080701828,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_003.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,4,0,4,0,,,,,,,,,Listen to the question and speak out your answer!,565.0976190567017,None,565.0821040153503,567.0975971221924,Man kann oft aus Fehlern lernen.,lernen,566.464306974411,568.3810510635376,568.7977620601654,None,581.6651929855346,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_004.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,5,0,5,0,,,,,,,,,Listen to the question and speak out your answer!,585.0991139411926,None,585.0831439971923,587.0987219810486,"Mutters Einkäufe sind so schwer, deshalb bittet sie Jon, die Tasche zu tragen.",tragen,586.4819320678711,None,591.698947095871,592.6996400356293,601.683369064331,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_005.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,6,0,6,0,,,,,,,,,Listen to the question and speak out your answer!,605.0996699333191,None,605.0849268913269,607.099690914154,Ich entschuldige bitte meine Verspätung.,entschuldige,606.4831921100616,608.7997801303864,609.2164811134338,610.2165830135345,621.6839939594269,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_006.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,7,0,7,0,,,,,,,,,Listen to the question and speak out your answer!,625.0840010643005,None,625.0852730751037,627.1008341312408,Ich bin von New York nach München geflogen.,geflogen,626.4674710273742,628.967579126358,629.3676251411438,630.3677380084991,641.6681839466095,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_007.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,8,0,8,0,,,,,,,,,Listen to the question and speak out your answer!,645.102196931839,None,645.0862179279327,647.1017971038818,Wir freuen uns sehr über Ihren Besuch.,freuen,646.4685179233551,648.8518009185791,649.2520119190216,None,661.6692401409149,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_008.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,9,0,9,0,,,,,,,,,Listen to the question and speak out your answer!,665.1028881072998,None,665.0874228954315,667.1027691364288,"Florian habe so lange Beine, deshalb trage er nur lange Hosen.",trage,666.48615899086,None,671.1364001274109,None,681.686866903305,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_009.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,10,0,10,0,,,,,,,,,Listen to the question and speak out your answer!,685.103807926178,None,685.0884080410003,687.1039071083069,"Das gute Wetter wird halten, weil ich keine Wolken sehe.",halten,686.4871109962463,689.8207139968872,690.220748090744,None,701.6879250049591,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_010.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,11,0,11,0,,,,,,,,,Listen to the question and speak out your answer!,705.1048440933228,None,705.0894420623779,707.1049931049347,Die USA haben viele Satelliten in den Weltraum geschickt.,geschickt,706.4881819725036,710.0385339260101,710.4551280975342,None,721.6890861034393,722.6891100406647,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_011.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,12,0,12,0,,,,,,,,,Listen to the question and speak out your answer!,725.1058950424194,None,725.0904980182647,727.1060280799866,Sam hat gerade das Abitur bestanden und wird sich für die Universität Wien bewerben. ,bewerben,726.4893139839172,731.60640001297,732.0229379177093,None,741.6903559207916,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_012.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,13,0,13,0,,,,,,,,,Listen to the question and speak out your answer!,745.0904939174652,None,745.0749000549316,747.090399980545,Mein Sohn wurde letztes Jahr geboren.,geboren,746.4570650100708,None,749.2076601028442,None,761.657875919342,None,763.0580809116364,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_013.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,14,0,14,0,,,,,,,,,Listen to the question and speak out your answer!,765.1088819503784,None,765.0927968502044,767.0915710926056,Der Autohändler hat auf der Messe zehn Sportwagen eingekauft.,eingekauft,766.4748541355133,770.2416200637817,770.658847951889,771.6585419178009,781.675808095932,782.6758561134338,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_014.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,15,0,15,0,,,,,,,,,Listen to the question and speak out your answer!,785.1094369888306,None,785.093653011322,787.0925691127777,Bienen liefern Honig.,liefern,786.4758061408996,788.09255194664,788.492885017395,789.4931011199951,801.6770709991455,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_015.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,16,0,16,0,,,,,,,,,Listen to the question and speak out your answer!,805.1102330684662,None,805.0949969768524,807.1102120876312,Der Hotelier buchte zwei Übernachtungen für uns,buchte,806.4938141345978,809.7770400047302,810.1770879268646,None,821.6943179607391,822.6944320201874,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_016.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,17,0,17,0,,,,,,,,,Listen to the question and speak out your answer!,825.1111829280853,None,825.0957398891449,827.1113839149475,Wir sind verlobt und wollen nächstes Jahr heiraten.,heiraten,826.494584941864,None,830.0281149387359,None,841.6953901290893,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_017.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,18,0,18,0,,,,,,,,,Listen to the question and speak out your answer!,845.0955901145935,None,845.080245065689,847.0956680774689,Der Flug nach New York wird mehrere Stunden dauern.,dauern,846.4789399147033,849.5458929538727,849.9627040863037,None,861.6798681259155,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_018.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,19,0,19,0,,,,,,,,,Listen to the question and speak out your answer!,865.0972120761871,None,865.0811758518219,867.096647977829,"Ich musste meine Mitgliedschaft kündigen, weil sie zu teuer war.",kündigen,866.4801041126251,870.0468571186066,870.4469210147857,None,881.6809450626373,882.6808729171753,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_019.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
1,0,1,0,0,0,0,0,20,0,20,0,,,,,,,,,Listen to the question and speak out your answer!,885.1152160167694,None,885.0988909721374,887.1144549846649,"Ich empfehle dieses Buch, weil es sehr gut ist.",empfehle,886.481228017807,889.4145541191101,889.8313111305237,None,901.6819790840149,None,None,None,./data/Subject_01/Session_00/Exp_data/2020_Jul_01_1510/rec_QA_run_01_block_000_trial_020.wav,01,00,English,A2,True,False,False,False,False,True,True,True,True,True,True,No,1,No,No,No,No,2020_Jul_01_1510,nibs_stage_1,3.2.3,59.99765405290969,
